商品名,一般名詞,大分類,中分類,小分類（カテゴリ）,小分類（商品）,キーワード,店舗,価格（税込）,価格（税抜）,価格テキスト,JANコード,メーカー,在庫,画像URL,登録日時
桃屋　梅ごのみ　１０５ｇ,梅干し,食料品,ごはんのお供,漬物・佃煮,漬物・佃煮,"['梅干し', 'ごはんのお供', '佃煮', '桃屋']",ダイエーネットスーパー,257.04,238.0,本体¥238.0 / 税込¥257.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/49/4902880051249_th.jpg,2025-12-27T21:09:18.883733+00:00
桃屋　穂先メンマ　やわらぎ　辣油味　お徳用　２１０ｇ,メンマ,食料品,ごはんのお供,漬物・佃煮,漬物・佃煮,"['メンマ', '辣油', 'ごはんのお供', '桃屋', '惣菜']",ダイエーネットスーパー,483.84,448.0,本体¥448.0 / 税込¥483.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/88/4902880040588_th.jpg,2025-12-27T21:09:18.271019+00:00
桃屋　花らっきょう　１１５ｇ,らっきょう,食料品,ごはんのお供,漬物・佃煮,漬物・佃煮,"['らっきょう', 'ごはんのお供', '漬物', '桃屋', '115g']",ダイエーネットスーパー,386.64,358.0,本体¥358.0 / 税込¥386.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/76/4902880020276_th.jpg,2025-12-27T21:09:09.315348+00:00
キョクヨー　天然熟成　紅鮭　焼きほぐし　８０ｇ,焼きほぐし,食料品,ごはんのお供,魚介加工品,魚介加工品,"['紅鮭', '焼きほぐし', 'ごはんのお供', '魚介加工品', '食料品']",ダイエーネットスーパー,645.84,598.0,本体¥598.0 / 税込¥645.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/59/4972195939259_th.jpg,2025-12-27T21:09:22.367263+00:00
桃屋　味付メンマ　１００ｇ,メンマ,食料品,その他加工食品,ごはんのお供,ごはんのお供,"['メンマ', 'ごはんのお供', '中華', '惣菜', '桃屋']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/14/4902880040014_th.jpg,2025-12-27T21:09:09.819423+00:00
桃屋　江戸むらさき　ごはんですよ！　１０５ｇ,ごはんですよ,食料品,その他加工食品,ごはんのお供,ごはんのお供,"['ごはんですよ', '桃屋', '海苔', '佃煮', 'ごはんのお供']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/52/4902880011052_th.jpg,2025-12-27T21:09:08.970785+00:00
桃屋　穂先メンマ　やわらぎ　辣油味　１１５ｇ,メンマ,食料品,その他加工食品,ごはんのお供,ごはんのお供,"['メンマ', '穂先メンマ', '辣油味', 'ごはんのお供', '桃屋']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/13/4902880040113_th.jpg,2025-12-27T21:09:10.990039+00:00
クリエイト　サキホコレ　甘酒　５００ｇ,甘酒,食料品,その他加工食品,その他,その他,"['甘酒', '清涼飲料水', '発酵食品', '米麹']",ダイエーネットスーパー,864.0,800.0,本体¥800.0 / 税込¥864.0,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/05/4901592931405_th.jpg,2025-12-27T19:38:32.055229+00:00
森永乳業　ビヒダス　ＢＢ５３６　ブルーベリー＋ストロベリー　７５ｇ×．．．,ヨーグルト,食料品,その他加工食品,その他,その他,"['ヨーグルト', 'ビフィズス菌', '乳製品', 'デザート']",ダイエーネットスーパー,192.24,178.0,本体¥178.0 / 税込¥192.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/53/4902720157353_th.jpg,2025-12-27T19:37:15.116218+00:00
いなば　ライトツナ　スーパーノンオイル　３缶入,ツナ缶,食料品,その他加工食品,魚介加工品,その他加工食品,"['ツナ缶', 'ノンオイル', 'ライトツナ', 'シーチキン', '魚加工品']",ダイエーネットスーパー,429.84,398.0,本体¥398.0 / 税込¥429.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/19/4901133685019_th.jpg,2025-12-27T20:58:37.846412+00:00
いなば　北海道産　食塩無添加　ミックスビーンズ　５０ｇ,ミックスビーンズ,食料品,その他加工食品,野菜加工品,その他加工食品,"['ミックスビーンズ', '豆', '加工食品', '食塩無添加', '北海道産']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/90/4901133245190_th.jpg,2025-12-27T21:07:31.052403+00:00
いなば　食塩無添加　とりささみフレーク（国産）　７０ｇ,とりささみフレーク,食料品,その他加工食品,肉加工品,その他加工食品,"['とりささみ', 'フレーク', '食塩無添加', '缶詰', '加工食品']",ダイエーネットスーパー,127.44,118.0,本体¥118.0 / 税込¥127.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/77/4901133121777_th.jpg,2025-12-27T21:07:30.720042+00:00
はごろもフーズ　ホームクッキング　ぎんなん　３０ｇ,ぎんなん,食料品,その他加工食品,野菜加工品,その他加工食品,"['ぎんなん', 'はごろもフーズ', 'ホームクッキング', '缶詰', '加工食品']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/00/4902560062800_th.jpg,2025-12-27T21:07:51.426104+00:00
はごろもフーズ　ホームクッキング　とりささみ　国産　４０ｇ,とりささみ缶詰,食料品,その他加工食品,肉加工品,その他加工食品,"['とりささみ', '缶詰', 'はごろもフーズ', 'ホームクッキング', '国産']",ダイエーネットスーパー,159.84,148.0,本体¥148.0 / 税込¥159.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/55/4902560062855_th.jpg,2025-12-27T21:07:52.218074+00:00
はごろもフーズ　国産ひじき　６５ｇ,ひじき,食料品,その他加工食品,魚介乾製品,その他加工食品,"['ひじき', '海藻', '乾物', '惣菜', 'はごろもフーズ']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/79/4902560062879_th.jpg,2025-12-27T21:07:52.619221+00:00
はごろもフーズ　朝からフルーツ　みつ豆　１９０ｇ,フルーツ缶詰,食料品,その他加工食品,フルーツ缶詰,その他加工食品,"['フルーツ', 'みつ豆', '缶詰', 'デザート', '朝食']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/87/4902560170987_th.jpg,2025-12-27T20:58:43.784342+00:00
はごろもフーズ　朝からフルーツ　杏仁　１９０ｇ,フルーツ缶詰,食料品,その他加工食品,フルーツ缶詰,その他加工食品,"['フルーツ', '杏仁', '缶詰', 'デザート']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/94/4902560170994_th.jpg,2025-12-27T20:58:44.064488+00:00
はごろもフーズ　朝からフルーツ　白桃　１９０ｇ,フルーツ缶詰,食料品,その他加工食品,フルーツ缶詰,その他加工食品,"['フルーツ', '白桃', '缶詰', '朝食', 'はごろもフーズ']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/75/4902560171175_th.jpg,2025-12-27T20:58:45.075017+00:00
キッコーマン　うちのごはんVege　なすとピーマンの香味しょうゆ　８．．．,惣菜,食料品,その他加工食品,惣菜,その他加工食品,"['惣菜', 'なす', 'ピーマン', '香味しょうゆ', 'キッコーマン']",ダイエーネットスーパー,162.0,150.0,本体¥150.0 / 税込¥162.0,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/97/4901515013997_th.jpg,2025-12-27T21:04:30.354166+00:00
キッコーマン　うちのごはんVege　ブロッコリーとキャベツの塩ガーリ．．．,惣菜の素,食料品,その他加工食品,惣菜の素,その他加工食品,"['惣菜の素', '野菜炒め', 'ブロッコリー', 'キャベツ', '塩ガーリック']",ダイエーネットスーパー,162.0,150.0,本体¥150.0 / 税込¥162.0,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/00/4901515014000_th.jpg,2025-12-27T21:04:30.724713+00:00
キッコーマン　うちのごはん　ごちそうレンジの素　豚じゃが　ガーリック．．．,レンジ調理食品,食料品,その他加工食品,惣菜の素,その他加工食品,"['レンジ調理', '豚じゃが', '惣菜', 'キッコーマン']",ダイエーネットスーパー,263.52,244.0,本体¥244.0 / 税込¥263.52,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/50/4901515013850_th.jpg,2025-12-27T21:04:30.014864+00:00
キッコーマン　うちのごはん　ごちそうレンジの素　鶏なすタンドリー　６．．．,レンジ調理食品,食料品,その他加工食品,惣菜の素,その他加工食品,"['レンジ調理', '和惣菜', '鶏肉', 'なす', 'タンドリー']",ダイエーネットスーパー,263.52,244.0,本体¥244.0 / 税込¥263.52,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/66/4901515012266_th.jpg,2025-12-27T21:04:28.976459+00:00
キッコーマン　うちのごはん　すきやき肉豆腐　１４０ｇ,肉豆腐の素,食料品,その他加工食品,惣菜の素,その他加工食品,"['すきやき', '肉豆腐', '豆腐', '惣菜', 'レトルト']",ダイエーネットスーパー,162.0,150.0,本体¥150.0 / 税込¥162.0,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/13/4901515347313_th.jpg,2025-12-27T21:04:31.793988+00:00
キッコーマン　うちのごはん　もやしのにんにく醤油炒め　９０ｇ,惣菜の素,食料品,その他加工食品,惣菜の素,その他加工食品,"['もやし', '炒め物', 'にんにく醤油', '惣菜の素']",ダイエーネットスーパー,162.0,150.0,本体¥150.0 / 税込¥162.0,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/95/4901515353895_th.jpg,2025-12-27T21:04:33.30962+00:00
キッコーマン　うちのごはん　キャベツのガリバタ醤油炒め　７４ｇ,惣菜の素,食料品,その他加工食品,惣菜の素,その他加工食品,"['惣菜の素', '炒め物', 'ガリバタ醤油', 'キャベツ']",ダイエーネットスーパー,162.0,150.0,本体¥150.0 / 税込¥162.0,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/84/4901515003684_th.jpg,2025-12-27T21:04:26.680486+00:00
キッコーマン　うちのごはん　ジャーマンポテト　８２ｇ,ジャーマンポテトの素,食料品,その他加工食品,惣菜の素,その他加工食品,"['ジャーマンポテト', 'キッコーマン', 'うちのごはん', '惣菜', '簡単調理']",ダイエーネットスーパー,162.0,150.0,本体¥150.0 / 税込¥162.0,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/55/4901515001055_th.jpg,2025-12-27T21:04:26.296297+00:00
キッコーマン　うちのごはん　和風オムレツ　８０ｇ,調味料,食料品,その他加工食品,合わせ調味料,その他加工食品,"['調味料', '和風オムレツ', 'キッコーマン', 'うちのごはん', '加工食品']",ダイエーネットスーパー,162.0,150.0,本体¥150.0 / 税込¥162.0,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/23/4901515353123_th.jpg,2025-12-27T21:04:32.518739+00:00
キッコーマン　うちのごはん　豚バラなすの焦がしガーリック　７７ｇ,惣菜の素,食料品,その他加工食品,惣菜の素,その他加工食品,"['惣菜の素', '豚バラなす', '焦がしガーリック', 'キッコーマン', 'うちのごはん']",ダイエーネットスーパー,162.0,150.0,本体¥150.0 / 税込¥162.0,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/34/4901515012334_th.jpg,2025-12-27T21:04:29.396379+00:00
キッコーマン　うちのごはん　豚バラピーマン甘辛しょうゆ　７２ｇ,惣菜,食料品,その他加工食品,惣菜,その他加工食品,"['惣菜', '豚バラ', 'ピーマン', '甘辛', 'しょうゆ']",ダイエーネットスーパー,162.0,150.0,本体¥150.0 / 税込¥162.0,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/41/4901515012341_th.jpg,2025-12-27T21:04:29.65444+00:00
キッコーマン　芯からぽっと　参鶏湯　１～２人前,参鶏湯,食料品,その他加工食品,スープ,その他加工食品,"['参鶏湯', 'サムゲタン', '韓国料理', 'レトルト', '鍋']",ダイエーネットスーパー,170.64,158.0,本体¥158.0 / 税込¥170.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/43/4901515014543_th.jpg,2025-12-27T21:06:18.475014+00:00
キユーピー　サラダクラブ　クルトン　１６ｇ,クルトン,食料品,その他加工食品,その他,その他加工食品,"['クルトン', 'サラダ', 'トッピング', 'パン', 'キユーピー']",ダイエーネットスーパー,127.44,118.0,本体¥118.0 / 税込¥127.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/58/4901577052958_th.jpg,2025-12-27T21:01:51.713334+00:00
キユーピー　サラダクラブ　フライドオニオン　１０ｇ,フライドオニオン,食料品,その他加工食品,その他,その他加工食品,"['フライドオニオン', 'サラダクラブ', 'トッピング', '玉ねぎ']",ダイエーネットスーパー,127.44,118.0,本体¥118.0 / 税込¥127.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/89/4901577052989_th.jpg,2025-12-27T21:01:52.528648+00:00
キユーピー　サラダクラブ　フライドガーリック　１０ｇ,フライドガーリック,食料品,その他加工食品,その他,その他加工食品,"['フライドガーリック', 'トッピング', '調味料', 'ガーリック']",ダイエーネットスーパー,127.44,118.0,本体¥118.0 / 税込¥127.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/72/4901577052972_th.jpg,2025-12-27T21:01:52.125795+00:00
キユーピー　フィッテ　２１０ｇ（機能性表示食品）,機能性表示食品,食料品,その他加工食品,調味料,その他加工食品,"['機能性表示食品', 'フィッテ', 'キユーピー', '健康食品', '惣菜']",ダイエーネットスーパー,462.24,428.0,本体¥428.0 / 税込¥462.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/00/4901577083600_th.jpg,2025-12-27T21:01:17.737404+00:00
キョクヨー　赤貝味付　６５ｇ,赤貝,食料品,その他加工食品,魚介加工品,その他加工食品,"['赤貝', '缶詰', '加工食品', '魚介類']",ダイエーネットスーパー,213.84,198.0,本体¥198.0 / 税込¥213.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/05/4972195041105_th.jpg,2025-12-27T21:07:57.462894+00:00
チューリップ　ポークランチョンミート　２００ｇ,ポークランチョンミート,食料品,その他加工食品,肉加工品,その他加工食品,"['ポークランチョンミート', 'チューリップ', '加工肉', '缶詰', '食料品']",ダイエーネットスーパー,408.24,378.0,本体¥378.0 / 税込¥408.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/25/5762385162425_th.jpg,2025-12-27T21:07:58.212896+00:00
テーブルランド　ほたてぞうすい　２５０ｇ,ぞうすい,食料品,その他加工食品,スープ・雑炊,その他加工食品,"['ぞうすい', 'ほたて', 'レトルト', 'ごはん']",ダイエーネットスーパー,181.44,168.0,本体¥168.0 / 税込¥181.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/83/4902887036683_th.jpg,2025-12-27T20:58:40.327789+00:00
トップバリュ　ふっくら卵焼きの素国産かつお節と日高産昆布の風味　１６．．．,卵焼きの素,食料品,その他加工食品,卵加工品,その他加工食品,"['卵焼きの素', 'かつお節', '昆布', '惣菜', '和風だし']",ダイエーネットスーパー,97.2,90.0,本体¥90.0 / 税込¥97.2,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/35/4549741877435_th.jpg,2025-12-27T21:06:27.287998+00:00
トップバリュ　スープ春雨　５種のアソート　１０食入,春雨スープ,食料品,その他加工食品,スープ,その他加工食品,"['春雨', 'スープ', 'アソート', 'インスタント', '軽食']",ダイエーネットスーパー,386.64,358.0,本体¥358.0 / 税込¥386.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/17/4549741247917_th.jpg,2025-12-27T21:07:12.44861+00:00
トップバリュ　ベストブライス　たまごのコクと旨み　カロリーハーフ　４．．．,マヨネーズ,食料品,その他加工食品,調味料,その他加工食品,"['マヨネーズ', 'カロリーハーフ', 'たまご', 'コク', '旨み']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/65/4549414654165_th.jpg,2025-12-27T21:01:15.373053+00:00
トップバリュ　ベストプライス　ねり明太　辛子明太子ペースト　１６０ｇ,明太子ペースト,食料品,その他加工食品,魚介加工品,その他加工食品,"['明太子', 'ペースト', '辛子明太子', 'ねり明太']",ダイエーネットスーパー,429.84,398.0,本体¥398.0 / 税込¥429.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/60/4549414668360_th.jpg,2025-12-27T21:02:03.509768+00:00
トップバリュ　ベストプライス　サラダトッピング　うずら卵水煮　＜国産．．．,うずら卵水煮,食料品,その他加工食品,卵加工品,その他加工食品,"['うずら卵', '水煮', 'サラダ', 'トッピング', '加工食品']",ダイエーネットスーパー,192.24,178.0,本体¥178.0 / 税込¥192.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/94/4549414689594_th.jpg,2025-12-27T21:01:49.970315+00:00
トップバリュ　ベストプライス　サラダトッピング　ブラックオリーブ　ス．．．,ブラックオリーブ,食料品,その他加工食品,オリーブ,その他加工食品,"['オリーブ', 'サラダ', 'トッピング', '加工食品']",ダイエーネットスーパー,181.44,168.0,本体¥168.0 / 税込¥181.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/31/4549414689631_th.jpg,2025-12-27T21:01:51.045415+00:00
トップバリュ　ベストプライス　サラダトッピング　ミックスビーンズ　ひ．．．,ミックスビーンズ,食料品,その他加工食品,その他,その他加工食品,"['ミックスビーンズ', 'サラダ', 'トッピング', '豆', '加工食品']",ダイエーネットスーパー,159.84,148.0,本体¥148.0 / 税込¥159.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/17/4549414689617_th.jpg,2025-12-27T21:01:50.361089+00:00
トップバリュ　ベストプライス　サラダトッピング　北海道産コーン　ホー．．．,コーン,食料品,その他加工食品,野菜加工品,その他加工食品,"['コーン', 'サラダ', 'トッピング', '北海道産']",ダイエーネットスーパー,159.84,148.0,本体¥148.0 / 税込¥159.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/70/4549414689570_th.jpg,2025-12-27T21:01:49.549622+00:00
トップバリュ　ベストプライス　サラダトッピング　豆と穀物ミックス　５．．．,豆と穀物ミックス,食料品,その他加工食品,その他,その他加工食品,"['豆', '穀物', 'ミックス', 'サラダ', 'トッピング']",ダイエーネットスーパー,159.84,148.0,本体¥148.0 / 税込¥159.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/24/4549414689624_th.jpg,2025-12-27T21:01:50.703954+00:00
ドール　ナタデココ　２２７ｇ,ナタデココ,食料品,その他加工食品,デザート,その他加工食品,"['ナタデココ', 'デザート', 'フルーツ', '缶詰', 'ドール']",ダイエーネットスーパー,203.04,188.0,本体¥188.0 / 税込¥203.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/07/4935850102207_th.jpg,2025-12-27T20:58:46.700254+00:00
ハウス食品　ハンバーグヘルパー　４６ｇ×２袋入,ハンバーグヘルパー,食料品,その他加工食品,惣菜の素,その他加工食品,"['ハンバーグ', 'つなぎ', '加工食品', 'ミートボール']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/66/4902402386866_th.jpg,2025-12-27T21:04:12.321192+00:00
パールエース　オリゴのおかげ　３００ｇ（特定保健用食品）,オリゴ糖,食料品,その他加工食品,調味料,その他加工食品,"['オリゴ糖', '特定保健用食品', '甘味料', 'パールエース', '健康食品']",ダイエーネットスーパー,429.84,398.0,本体¥398.0 / 税込¥429.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/78/4523160475878_th.jpg,2025-12-27T20:59:30.281285+00:00
ピエトロ　パットフッテ　フライドオニオン＆ナッツ　７０ｇ,フライドオニオン＆ナッツ,食料品,その他加工食品,おつまみ,その他加工食品,"['フライドオニオン', 'ナッツ', 'トッピング', '惣菜', '調味料']",ダイエーネットスーパー,462.24,428.0,本体¥428.0 / 税込¥462.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/64/4965009014464_th.jpg,2025-12-27T21:02:01.042841+00:00
ベル食品　純製ラード　２００ｇ,ラード,食料品,その他加工食品,調味料,その他加工食品,"['ラード', '豚脂', '食用油脂', '調味料', '製菓']",ダイエーネットスーパー,375.84,348.0,本体¥348.0 / 税込¥375.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/29/4902504160029_th.jpg,2025-12-27T21:04:58.914442+00:00
ボトル入りなめ茸　２３０ｇ　,なめ茸,食料品,その他加工食品,ごはんのお供,その他加工食品,"['なめ茸', '瓶詰', 'きのこ', 'ごはんのお供']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/10/4549414658910_th.jpg,2025-12-27T21:09:05.990492+00:00
ポッカサッポロ　クルトン　スープ用　３パック入,クルトン,食料品,その他加工食品,スープ,その他加工食品,"['スープ', 'クルトン', 'トッピング', '3パック']",ダイエーネットスーパー,116.64,108.0,本体¥108.0 / 税込¥116.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/00/4902471054000_th.jpg,2025-12-27T21:06:51.735588+00:00
マルサンアイ　国産大豆　豆乳グルト　４００ｇ,豆乳,食料品,その他加工食品,デザート,その他加工食品,"['豆乳', 'ヨーグルト', '乳製品', '健康食品', 'マルサンアイ']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/57/4901033635657_th.jpg,2025-12-27T19:36:23.850533+00:00
ミツカン　マインズ　黒酢ドリンク　１０００ｍｌ（特定保健用食品）,黒酢ドリンク,食料品,その他加工食品,健康食品,その他加工食品,"['黒酢ドリンク', '特定保健用食品', '健康飲料', 'ミツカン', '飲料']",ダイエーネットスーパー,537.84,498.0,本体¥498.0 / 税込¥537.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/84/4902106798484_th.jpg,2025-12-27T20:59:43.487948+00:00
丸美屋　おうち食堂　レンジ和食　鶏大根の素　７０ｇ,惣菜の素,食料品,その他加工食品,惣菜の素,その他加工食品,"['惣菜の素', '和食', '鶏大根', 'レンジ調理', '丸美屋']",ダイエーネットスーパー,257.04,238.0,本体¥238.0 / 税込¥257.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/30/4902820216530_th.jpg,2025-12-27T21:04:34.007115+00:00
丸美屋　すき焼き春雨　３人前　２１０ｇ,春雨,食料品,その他加工食品,惣菜の素,その他加工食品,"['春雨', 'すき焼き', 'レトルト', '惣菜', '和風']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/03/4902820205503_th.jpg,2025-12-27T21:05:17.093226+00:00
丸美屋　チャプチェ　３人前　２１０ｇ,チャプチェの素,食料品,その他加工食品,惣菜の素,その他加工食品,"['チャプチェ', '韓国料理', '素', '調味料', '惣菜']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/02/4902820205602_th.jpg,2025-12-27T21:05:17.483141+00:00
丸美屋　塩だれ春雨　３人前　２１０ｇ,春雨,食料品,その他加工食品,惣菜の素,その他加工食品,"['春雨', '塩だれ', '惣菜', 'インスタント', '中華']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/26/4902820205626_th.jpg,2025-12-27T21:05:17.825146+00:00
